Gender;Age;Education_level;Employment_status;Income_group;Country;Household_members_number;Number_vehicles_household;Car_sharing_;Leisure_trips_number;Plan_to_purchase_vehicle;buy_electric
1;29;2;1;4;1;3;1;2;0;3;0
1;38;2;1;3;1;3;2;2;7;3;1
2;18;3;4;3;1;4;3;2;3;3;0
2;21;3;7;4;1;2;2;3;4;3;1
1;41;4;1;3;1;4;2;2;5;4;0
1;18;2;1;5;1;1;0;2;3;3;1
2;45;2;2;3;1;2;1;2;7;4;1
1;23;3;1;2;1;3;3;2;2;3;0
2;25;2;6;4;1;2;1;2;0;4;0
1;28;1;1;4;1;4;2;2;0;4;0
2;54;4;1;3;1;1;1;2;4;3;1
2;30;2;2;2;1;2;1;2;1;3;1
1;40;4;1;3;1;1;2;2;5;1;1
2;49;3;1;3;1;2;2;2;0;3;0
2;47;1;2;3;1;4;2;2;4;4;0
2;55;1;5;4;1;1;1;3;0;4;0
1;44;2;1;3;1;4;4;2;1;3;1
1;42;4;1;3;1;2;2;2;1;1;0
1;48;4;1;3;1;2;2;2;1;2;0
2;62;2;5;3;1;1;1;2;8;4;0
2;65;3;5;4;1;1;1;2;2;4;1
2;38;2;1;4;1;4;1;2;0;2;1
2;44;2;2;2;1;4;2;2;0;3;0
1;32;2;1;4;1;1;1;2;3;3;1
2;35;2;2;3;1;4;2;2;1;4;0
2;37;3;2;3;1;3;1;2;0;4;0
2;39;4;6;3;1;2;1;3;1;3;0
2;27;4;6;3;1;3;1;2;15;3;0
1;20;3;4;4;1;3;2;2;1;3;1
1;42;4;1;3;1;4;1;2;0;4;1
2;39;1;2;5;1;2;1;2;0;4;0
1;29;3;1;3;1;2;1;2;20;3;0
1;40;3;1;2;1;4;3;2;2;2;1
1;48;1;1;6;1;4;4;2;1;1;1
2;44;3;2;2;1;3;2;2;2;3;1
1;37;3;2;5;1;3;0;1;0;3;1
2;35;2;3;5;1;4;1;3;0;4;0
1;47;3;1;3;1;5;2;2;2;3;0
1;38;2;1;3;1;1;1;2;0;4;0
2;48;4;2;4;1;5;1;2;2;4;1
2;48;2;2;5;1;2;1;2;1;4;0
1;32;3;1;3;1;1;1;2;0;2;0
2;30;3;1;3;1;3;2;2;0;4;0
1;27;4;4;5;1;3;0;1;1;5;1
2;62;4;1;2;1;2;1;2;5;2;1
1;47;4;1;2;1;3;1;2;14;3;1
1;28;2;1;3;1;2;0;2;1;3;1
1;47;2;1;4;1;1;2;2;2;4;0
1;49;3;1;3;1;1;1;2;2;1;1
2;41;3;3;5;1;3;0;2;1;4;0
1;46;3;1;4;1;3;1;2;3;2;1
1;19;3;1;3;1;4;1;2;1;3;0
1;45;3;1;3;1;3;2;2;4;4;0
2;52;4;2;2;1;1;1;2;2;4;0
1;30;3;3;2;1;3;2;2;2;4;0
1;38;3;1;3;1;3;2;2;2;4;0
